Player,Class,Pos,School,Conf,Predicted_PER,Predicted_BPM,Predicted_WS40,PER_Percentile_Rank,BPM_Percentile_Rank,WS40_Percentile_Rank
Destin Whitaker,SR,G,Purdue Fort Wayne,Horizon League,13.025,-1.646,0.144,39.896,18.135,63.731
Detalian Brown,JR,G,North Alabama,Atlantic Sun Conference,9.149,-2.897,0.051,24.352,15.544,23.316
Deuce Roberts,FR,G,Temple,American Athletic Conference,-0.765,-5.982,0.0,7.772,9.845,10.881
Deuce Turner,JR,G,San Diego,West Coast Conference,16.839,0.043,0.096,58.549,25.389,37.306
Devan Cambridge,SR,G,Texas Tech,Big 12 Conference,19.242,5.701,0.155,79.793,72.539,72.021
Devan Sapp,JR,G,Maryland-Baltimore County,America East Conference,9.158,-3.839,0.045,24.352,13.99,22.28
Devean Williams,SO,G,Canisius,Metro Atlantic Athletic Conference,12.841,-3.052,0.065,38.86,15.544,26.425
Deven Dahlke,SR,G,San Diego,West Coast Conference,6.89,-3.853,0.041,18.135,13.99,22.28
Devin Askew,SR,G,California,Pac-12 Conference,7.87,-0.847,0.027,21.762,20.725,19.689
Devin Butler,SR,G,Virginia Military Institute,Southern Conference,6.516,-5.463,0.021,17.617,11.399,19.171
Devin Carney,FR,G,Denver,Summit League,19.261,-2.712,0.133,79.793,16.58,56.477
Devin Carter,JR,G,Providence,Big East Conference ,26.523,11.198,0.209,98.964,100.0,92.746
Devin Ceaser,SO,G,Old Dominion,Sun Belt Conference,15.591,-1.7,0.064,52.332,18.135,26.425
Devin Curtis,FR,F,California,Pac-12 Conference,7.383,0.76,0.051,19.171,27.979,23.316
Devin Gordon,JR,F,North Carolina Central,Mid-Eastern Athletic Conference,10.115,-4.591,0.075,26.943,12.953,31.088
Devin Hines,JR,G,Lafayette,Patriot League,10.925,-4.204,0.053,31.088,13.99,23.316
Devin McGlockton,SO,F,Boston College,Atlantic Coast Conference,19.432,5.595,0.147,80.311,71.503,65.803
Devin Ree,SO,F,Louisiana Tech,Conference USA,15.909,0.974,0.169,52.85,29.534,79.275
Devin Royal,FR,F,Ohio State,Big Ten Conference,16.837,1.694,0.135,58.549,33.161,56.995
Devin Tillis,SR,F,UC Irvine,Big West Conference,20.695,2.777,0.197,86.528,42.487,90.674
Devin Williams,FR,F,UCLA,Pac-12 Conference,19.15,-0.306,0.125,79.275,24.352,53.886
Devon Arlington,SO,G,Yale,Ivy League,15.35,-7.365,0.0,51.813,8.29,10.881
Devon Barnes,SO,G,Tarleton State,Western Athletic Conference,17.948,2.724,0.174,69.948,42.487,82.902
Devon Ellis,SO,G,Maryland-Eastern Shore,Mid-Eastern Athletic Conference,16.429,-2.02,0.096,55.959,17.617,37.306
Devon Hancock,JR,G,Louisiana-Monroe,Sun Belt Conference,8.708,-4.802,0.042,23.834,12.953,22.28
Devon Pryor,FR,F,Texas,Big 12 Conference,6.709,-8.873,0.0,18.135,7.254,10.881
Devon Savage,JR,G,Merrimack,Northeast Conference,14.538,-1.531,0.117,47.668,18.653,46.114
Devontae Blanton,SR,F,Eastern Kentucky,Atlantic Sun Conference,17.479,-2.436,0.079,64.767,16.58,31.088
Dexter Akanno,SR,G,Oregon State,Pac-12 Conference,12.588,0.901,0.063,36.269,28.497,26.425
Deyton Albury,JR,G,Queens (NC),Atlantic Sun Conference,23.69,0.371,0.119,95.855,26.425,48.187
Deywilk Tavarez,FR,G,Delaware State,Mid-Eastern Athletic Conference,14.09,-2.411,0.073,46.114,16.58,30.052
Dez White,FR,G,Austin Peay,Atlantic Sun Conference,10.769,-1.022,0.084,31.088,20.725,34.715
Dezi Jones,SR,G,Austin Peay,Atlantic Sun Conference,18.166,0.37,0.124,74.611,26.425,53.368
Dezmond McKinney,JR,G,Bellarmine,Atlantic Sun Conference,14.052,-1.364,0.095,46.114,19.689,36.788
Dhashon Dyson,SR,G,Bethune-Cookman,Southwest Athletic Conference,13.593,-2.475,0.071,44.041,16.58,28.497
Di'Andre Howell-South,SO,G,Wagner,Northeast Conference,10.47,-4.589,0.105,30.052,12.953,43.005
Dian Wright-Forde,JR,G,Texas A&M-Corpus Christi,Southland Conference,19.479,-1.073,0.155,80.311,20.725,71.503
Diante Smith,SR,F,Nicholls State,Southland Conference,19.234,1.316,0.132,79.275,30.052,56.477
Diante Wood,SR,G,Tennessee Tech,Ohio Valley Conference,12.471,-4.389,0.056,35.751,13.472,23.834
Diego Campisano,JR,F,Northern Arizona,Big Sky Conference,12.973,-0.809,0.092,39.896,20.725,35.751
Dieonte Miles,SR,F,Morehead State,Ohio Valley Conference,16.347,-1.649,0.162,55.44,18.135,73.575
Dillon Bailey,JR,G,Wofford,Southern Conference,14.035,-1.312,0.096,46.114,19.689,37.306
Dillon Hunter,SO,G,Clemson,Atlantic Coast Conference,8.982,1.025,0.068,24.352,29.534,27.461
Dillon Jones,JR,F,Weber State,Big Sky Conference,29.992,5.544,0.238,99.482,71.503,98.446
Dillon Mitchell,SO,F,Texas,Big 12 Conference,21.911,7.462,0.15,92.746,91.192,68.912
Dillon Wilhite,SO,F,Kansas,Big 12 Conference,-14.23,-21.389,-0.211,3.109,2.073,2.073
Diogo Seixas,FR,F,San Jose State,Mountain West Conference,10.204,-1.324,0.036,26.943,19.689,20.725
Dion Brown,SO,G,Maryland-Baltimore County,America East Conference,23.918,1.654,0.136,95.855,32.642,58.031
Dionjahe Thomas,SO,F,McNeese State,Southland Conference,25.636,-0.89,0.309,98.446,20.725,99.482
Dionte Bostick,JR,G,Cal State Northridge,Big West Conference,17.708,0.802,0.109,65.285,27.979,45.078
Dionte Johnson,SO,G,Maryland-Eastern Shore,Mid-Eastern Athletic Conference,11.544,-3.238,0.088,34.197,14.508,35.233
Dior Davis,SO,G,New Hampshire,America East Conference,12.564,-2.968,0.093,36.269,15.544,35.751
Dirin Bihiray,SO,G,Western Illinois,Ohio Valley Conference,29.606,-0.787,0.288,99.482,20.725,99.482
Dischon Thomas,SR,F,Montana,Big Sky Conference,19.956,2.151,0.162,83.938,37.824,73.575
Dishon Jackson,JR,C,Charlotte,American Athletic Conference,21.937,4.856,0.173,92.746,61.658,82.902
Djahi Binet,JR,F,Alcorn State,Southwest Athletic Conference,12.039,-5.908,0.073,34.197,9.845,30.052
Dji Bailey,SR,G,Richmond,Atlantic 10 Conference,19.424,6.097,0.168,80.311,76.166,77.72
Djordje Curcic,FR,G,Saint Louis,Atlantic 10 Conference,11.594,1.568,0.069,34.197,31.606,27.979
Dok Muordar,FR,F,Cleveland State,Horizon League,-3.583,-17.98,-0.174,4.663,4.145,2.073
Dola Adebayo,SO,F,Mount St. Mary's,Metro Atlantic Athletic Conference,20.533,1.849,0.161,85.492,34.715,73.575
Dom Campbell,SO,F,Howard,Mid-Eastern Athletic Conference,12.894,-6.028,0.07,39.378,9.326,28.497
Dom Martinelli,SR,G,St. Thomas,Summit League,16.088,-5.795,0.084,54.922,10.363,34.715
Domas Kauzonas,FR,F,UNC Greensboro,Southern Conference,17.401,-1.67,0.166,64.249,18.135,75.13
Dominic Brewton,SR,G,Cal State Fullerton,Big West Conference,20.175,1.684,0.121,84.974,33.161,50.777
Dominic Capriotti,FR,G,Houston Christian,Southland Conference,9.471,-4.293,0.05,25.389,13.99,23.316
Dominic Ham,SR,G,Milwaukee,Horizon League,14.627,0.142,0.117,47.668,25.907,46.114
Dominic Muncey,JR,G,San Diego,West Coast Conference,4.805,-3.546,0.024,14.508,14.508,19.689
Dominic Parolin,SR,F,Lehigh,Patriot League,20.367,-0.093,0.159,85.492,25.389,73.575
Dominick Harris,JR,G,Loyola Marymount,West Coast Conference,16.35,0.467,0.105,55.44,27.979,43.005
Dominique Daniels Jr.,SO,G,California Baptist,Western Athletic Conference,18.708,1.684,0.159,76.684,33.161,73.575
Dominique Ford,JR,G,Southern Utah,Western Athletic Conference,18.542,1.466,0.118,75.13,31.088,47.15
Don McHenry,JR,G,Western Kentucky,Conference USA,19.413,1.606,0.145,80.311,32.124,64.767
Donald Ferguson,FR,G,Coppin State,Mid-Eastern Athletic Conference,13.374,-6.008,0.025,42.487,9.845,19.689
Donald Hand Jr.,FR,G,Boston College,Atlantic Coast Conference,12.575,2.076,0.071,36.269,37.824,28.497
Donavan Yap,SR,G,Fresno State,Mountain West Conference,12.559,0.404,0.062,36.269,26.425,25.907
Dondre Watson,JR,F,Bethune-Cookman,Southwest Athletic Conference,25.774,-2.054,0.146,98.964,17.617,65.803
Donovan Atwell,SO,F,UNC Greensboro,Southern Conference,14.872,0.805,0.129,49.223,27.979,54.922
Donovan Clay,SR,G,Missouri State,Missouri Valley Conference,17.029,1.34,0.103,61.658,30.57,42.487
Donovan Clingan,SO,C,Connecticut,Big East Conference ,29.526,10.395,0.251,99.482,100.0,99.482
Donovan Dent,SO,F,New Mexico,Mountain West Conference,20.173,7.168,0.167,84.974,89.637,77.202
Donovan Draper,SO,F,Navy,Patriot League,18.937,-0.029,0.146,78.238,25.389,65.803
Donovan Grant,FR,G,Georgetown,Big East Conference ,4.442,-2.762,0.0,13.99,16.062,10.881
Donovan Gregory,SR,G,Appalachian State,Sun Belt Conference,21.271,4.37,0.198,89.637,53.886,90.674
Donovan Hunter,FR,F,Kent State,Mid-American Conference,7.064,-6.204,0.047,18.653,9.326,22.28
Donovan Ivory,SR,G,Southern Mississippi,Sun Belt Conference,19.493,2.805,0.137,80.311,42.487,58.549
Donovan Newby,SR,G,UNC Wilmington,Coastal Athletic Association,13.528,0.145,0.132,44.041,25.907,56.477
Donovan Oday,SO,G,Cal State Fullerton,Big West Conference,14.793,-0.979,0.102,49.223,20.725,42.487
Donovan Raymond,FR,F,Hampton,Coastal Athletic Association,23.149,-1.135,0.169,95.855,20.725,79.275
Donovan Rivers,FR,F,Jacksonville,Atlantic Sun Conference,11.375,-4.05,0.072,33.679,13.99,29.016
Donovan Sanders,JR,G,Mississippi Valley State,Southwest Athletic Conference,9.085,-7.994,-0.046,24.352,7.772,2.591
Donovan Santoro,FR,F,Providence,Big East Conference ,-1.346,-13.234,-0.174,7.772,4.663,2.073
Donovan Williams,SR,G,Pacific,West Coast Conference,9.956,-2.871,0.014,26.425,15.544,18.653
Donovann Toatley,SR,G,Detroit Mercy,Horizon League,8.685,-7.41,-0.062,23.834,8.29,2.591
Donta Scott,SR,F,Maryland,Big Ten Conference,16.366,5.235,0.134,55.44,67.876,56.995
Dontae Horne,JR,G,Texas State,Sun Belt Conference,13.255,-1.707,0.107,41.451,18.135,44.041
Dontaie Allen,SR,G,Western Kentucky,Conference USA,12.958,-0.927,0.101,39.896,20.725,40.933
Dontrez Styles,JR,G,Georgetown,Big East Conference ,15.982,2.313,0.081,53.886,39.378,32.124
Dorian Booker,FR,F,New Orleans,Southland Conference,20.698,-4.055,0.157,86.528,13.99,72.539
Dorian Finister,SO,G,Kansas State,Big 12 Conference,6.99,-1.176,0.034,18.653,20.725,20.207
Dorian Hill,SO,G,New Orleans,Southland Conference,3.903,-10.073,0.0,13.99,5.699,10.881
Dorian James,SR,F,North Florida,Atlantic Sun Conference,16.953,-0.356,0.115,59.585,23.834,45.078
Dorion Staples,SR,F,Southern Illinois-Edwardsville,Ohio Valley Conference,15.531,-5.284,0.116,52.332,11.917,45.596
Doug Edert,SR,G,Bryant,America East Conference,13.996,-0.105,0.13,46.114,25.389,55.44
Doug Young,JR,G,Quinnipiac,Metro Atlantic Athletic Conference,11.429,-4.523,0.059,33.679,12.953,24.87
Dozier Kintavious,JR,G,Grambling,Southwest Athletic Conference,19.301,-0.704,0.128,80.311,20.725,53.886
Dra Gibbs-Lawhorn,FR,G,Illinois,Big Ten Conference,7.83,-2.395,0.026,21.762,16.58,19.689
Dragos Lungu,FR,G,San Diego,West Coast Conference,7.74,-5.925,0.007,21.244,9.845,18.653
Drake Allen,JR,G,Utah Valley,Western Athletic Conference,16.914,0.894,0.12,59.067,28.497,50.777
Drake Dobbs,SR,G,St. Thomas,Summit League,15.653,0.318,0.144,52.332,26.425,64.767
Drake James,FR,G,North Alabama,Atlantic Sun Conference,21.097,-5.028,0.0,89.119,12.953,10.881
Drake Muller,SR,G,Denver,Summit League,13.84,-5.85,0.0,45.078,10.363,10.881
Dramane Camara,FR,G,DePaul,Big East Conference ,-5.293,-15.015,-0.285,4.663,4.663,1.554
Dravon Mangum,SR,F,Louisiana Tech,Conference USA,13.662,0.872,0.144,44.56,28.497,64.767
Drayton Jones,FR,F,South Carolina State,Mid-Eastern Athletic Conference,12.954,-5.501,0.079,39.896,11.399,31.088
Dre Davis,SR,G,Seton Hall,Big East Conference ,23.35,7.642,0.173,95.855,92.746,82.902
Dre Fuller Jr.,SR,G,UTSA,American Athletic Conference,13.599,-1.224,0.047,44.041,20.207,22.28
Dre'Shawn Allen,SR,G,Southern,Southwest Athletic Conference,13.145,-3.154,0.076,41.451,15.026,31.088
Drew Carter,SO,G,UC Davis,Big West Conference,21.874,-0.67,0.19,92.228,20.725,89.119
Drew Cisse,JR,F,Western Illinois,Ohio Valley Conference,20.589,1.929,0.181,86.01,36.269,87.565
Drew Daniel,JR,F,Northern Iowa,Missouri Valley Conference,5.759,-7.121,0.0,16.062,8.29,10.881
Drew Fielder,FR,F,Georgetown,Big East Conference ,15.719,4.714,0.125,52.332,58.549,53.886
Drew Kania,SO,F,Brown,Ivy League,49.442,11.097,0.501,100.0,100.0,99.482
Drew Lowder,SR,G,Cleveland State,Horizon League,13.624,-2.368,0.076,44.041,16.58,31.088
Drew Pember,SR,F,UNC Asheville,Big South Conference,31.145,8.999,0.255,99.482,96.891,99.482
Drew Stack,FR,G,Portland,West Coast Conference,0.938,-10.793,0.0,10.363,5.181,10.881
Drew Thelwell,JR,G,Morehead State,Ohio Valley Conference,18.18,1.331,0.156,74.611,30.052,72.021
Drey Carter,FR,G,Wright State,Horizon League,15.612,-2.455,0.107,52.332,16.58,44.041
Drissa Traore,JR,F,St. John's (NY),Big East Conference ,10.9,1.424,0.091,31.088,30.57,35.751
Duane Posey,SR,F,Northwestern State,Southland Conference,16.573,-4.224,0.102,56.477,13.99,42.487
Dug McDaniel,SO,G,Michigan,Big Ten Conference,17.764,2.997,0.089,65.285,46.114,35.233
Duke Brennan,SO,F,Grand Canyon,Western Athletic Conference,18.443,0.978,0.164,75.13,29.534,73.575
Duke Deen,SR,G,Bradley,Missouri Valley Conference,18.562,3.836,0.155,75.13,52.332,72.021
Duke Miles,JR,G,High Point,Big South Conference,23.673,3.521,0.202,95.855,49.223,91.192
Duncan Powell,SO,F,Sacramento State,Big Sky Conference,19.683,-0.348,0.141,81.347,24.352,61.658
Dusan Mahorcic,SR,F,Duquesne,Atlantic 10 Conference,17.66,-0.192,0.121,64.767,25.389,50.777
Dusan Neskovic,SR,F,Dartmouth,Ivy League,17.633,-0.951,0.06,64.767,20.725,24.87
Dusty Stromer,FR,G,Gonzaga,West Coast Conference,10.783,0.796,0.104,31.088,27.979,43.005
Duwe Farris,SR,F,North Carolina,Atlantic Coast Conference,4.63,-7.538,0.0,14.508,8.29,10.881
Dwayne Koroma,SO,F,UT Arlington,Western Athletic Conference,15.838,-0.836,0.112,52.85,20.725,45.078
Dwon Odom,JR,G,Georgia State,Sun Belt Conference,19.218,2.624,0.16,79.275,41.969,73.575
Dylan Addae-Wusu,SR,G,Seton Hall,Big East Conference ,11.494,2.462,0.075,33.679,40.415,31.088
Dylan Andrews,SO,G,UCLA,Pac-12 Conference,12.457,0.823,0.065,35.751,27.979,26.425
Dylan Arnett,SO,F,Cleveland State,Horizon League,17.626,-0.219,0.123,64.767,25.389,52.85
Dylan Blair,FR,G,Army,Patriot League,3.03,-9.408,-0.031,11.399,6.218,2.591
Dylan Branson,JR,G,Southeast Missouri State,Ohio Valley Conference,6.212,-6.766,0.021,17.617,8.29,19.171
Dylan Canoville,SO,F,Southeastern Louisiana,Southland Conference,15.028,-3.967,0.108,50.259,13.99,45.078
Dylan Cardwell,SR,C,Auburn,Southeastern Conference,22.811,8.282,0.222,94.819,95.337,96.373
Dylan Darling,SO,G,Washington State,Pac-12 Conference,-19.161,-17.093,0.0,2.591,4.145,10.881
Dylan Dawson,SR,G,Texas State,Sun Belt Conference,8.815,-2.831,0.053,23.834,15.544,23.834
Dylan Disu,SR,F,Texas,Big 12 Conference,25.711,8.206,0.213,98.964,95.337,94.301
Dylan Faulkner,FR,F,Lipscomb,Atlantic Sun Conference,25.112,1.638,0.199,97.927,32.124,90.674
Dylan Hayman,JR,F,Incarnate Word,Southland Conference,13.912,-2.743,0.083,45.596,16.062,34.197
Dylan James,FR,F,Georgia,Southeastern Conference,18.871,3.642,0.123,78.238,50.259,52.85
Dylan Mclean,JR,G,Alabama A&M,Southwest Athletic Conference,13.505,-4.786,0.085,44.041,12.953,35.233
Dylan Ritter,JR,G,College of Charleston,Coastal Athletic Association,-7.933,-14.223,0.0,4.663,4.663,10.881
Dylan Saunders,FR,F,Iona,Metro Atlantic Athletic Conference,10.192,-2.774,0.078,26.943,16.062,31.088
Dylan Thoerner,SR,G,UC Irvine,Big West Conference,10.385,-1.926,0.115,28.497,17.617,45.078
Dylan Williamson,SO,G,Towson,Coastal Athletic Association,14.399,-1.185,0.115,47.15,20.207,45.078
Dyondre Dominguez,JR,F,Arkansas State,Sun Belt Conference,17.994,0.45,0.11,69.948,27.461,45.078
Dyson Koehler,JR,F,Weber State,Big Sky Conference,16.124,1.472,0.154,54.922,31.088,71.503
EJ Bellinger,SR,G,Tennessee State,Ohio Valley Conference,19.075,-0.345,0.147,78.238,24.352,65.803
EJ Farmer,JR,G,Youngstown State,Horizon League,15.424,-0.476,0.114,51.813,21.762,45.078
EJ Neal,JR,G,Idaho,Big Sky Conference,11.581,-3.227,0.067,34.197,14.508,27.461
EJ Williams,SR,C,Alabama A&M,Southwest Athletic Conference,12.161,-6.223,0.037,34.715,9.326,21.244
EJay Greer,FR,G,Bowling Green State,Mid-American Conference,9.099,-4.598,0.047,24.352,12.953,22.28
Earl Timberlake,SR,G,Bryant,America East Conference,27.948,4.085,0.189,99.482,53.368,88.601
Earnest Ofremu,FR,F,Mercer,Southern Conference,17.44,-16.817,0.0,64.249,4.145,10.881
Ebby Asamoah,SR,G,East Tennessee State,Southern Conference,17.187,1.321,0.131,63.212,30.052,55.959
Ebenezer Dowuona,SR,F,Georgia Tech,Atlantic Coast Conference,6.004,-5.652,0.0,16.58,10.881,10.881
Ebrima Dibba,SR,G,South Carolina,Southeastern Conference,-1.098,-11.337,0.0,7.772,5.181,10.881
Eddie Holland III,JR,G,Pennsylvania,Ivy League,18.222,-0.834,0.143,74.611,20.725,63.731
Eddie Lampkin Jr.,JR,C,Colorado,Pac-12 Conference,17.805,3.023,0.114,65.285,46.114,45.078
Eddie Ricks III,FR,F,Morehead State,Ohio Valley Conference,16.376,0.376,0.148,55.44,26.425,68.394
Eddie Turner III,SR,G,Montana State,Big Sky Conference,15.256,-1.329,0.093,51.295,19.689,36.269
Eddiean Tirado,JR,G,Southern Illinois-Edwardsville,Ohio Valley Conference,7.75,-5.329,0.051,21.244,11.399,23.316
Edoardo Del Cadia,SR,F,Detroit Mercy,Horizon League,16.631,-3.122,0.054,56.477,15.026,23.834
Edrick Quezada,FR,F,Merrimack,Northeast Conference,-0.347,-9.449,0.0,8.808,6.218,10.881
Eduardo Andre,SR,F,Fresno State,Mountain West Conference,14.983,-0.09,0.044,50.259,25.389,22.28
Eduardo Placer,FR,G,South Carolina Upstate,Big South Conference,9.186,-4.557,0.043,24.352,12.953,22.28
Edward Nnamoko,SO,C,Georgia State,Sun Belt Conference,13.929,-1.607,0.111,45.596,18.135,45.078
Edwin Litolff,SO,F,Louisiana-Monroe,Sun Belt Conference,-2.797,-10.183,0.0,5.181,5.699,10.881
Eemeli Yalaho,FR,F,Texas Tech,Big 12 Conference,10.41,0.461,0.066,29.016,27.979,27.461
Efe Gucoglu,FR,G,Campbell,Coastal Athletic Association,4.831,-13.746,-0.19,14.508,4.663,2.073
Efe Tahmaz,FR,F,La Salle,Atlantic 10 Conference,16.201,-2.763,0.0,55.44,16.062,10.881
Efrem Johnson,SO,G,UAB,American Athletic Conference,14.039,0.522,0.081,46.114,27.979,32.124
Efton Reid,JR,C,Wake Forest,Atlantic Coast Conference,20.658,5.87,0.164,86.528,73.057,73.575
Eian Elmer,FR,F,Miami (OH),Mid-American Conference,20.006,1.063,0.16,83.938,29.534,73.575
El Ellis,SR,G,Arkansas,Southeastern Conference,10.812,-0.486,0.026,31.088,21.762,19.689
Eli DeLaurier,FR,F,Providence,Big East Conference ,-5.316,-9.867,0.0,4.663,6.218,10.881
Eli Djordjevic,FR,G,Long Beach State,Big West Conference,1.654,-8.234,0.0,11.399,7.772,10.881
Eli King,SO,G,North Dakota,Summit League,14.239,-0.113,0.112,46.632,25.389,45.078
Eli Lawrence,SR,G,Texas A&M,Southeastern Conference,3.844,-4.073,0.0,13.99,13.99,10.881
Eli Rice,FR,G,Nebraska,Big Ten Conference,17.259,4.057,0.163,63.212,53.368,73.575
Eli Roberts,SR,F,Bellarmine,Atlantic Sun Conference,4.344,-8.568,0.0,13.99,7.254,10.881
Eli Shetlar,FR,G,Indiana State,Missouri Valley Conference,16.096,-1.78,0.129,54.922,18.135,55.44
Eli Sparkman,SO,G,South Carolina,Southeastern Conference,5.579,-9.867,0.0,15.026,6.218,10.881
Eli Wilborn,FR,F,Saint Francis (PA),Northeast Conference,21.917,-1.35,0.13,92.746,19.689,55.44
Eli Yofan,SO,G,Miami (OH),Mid-American Conference,5.842,-9.714,0.0,16.58,6.218,10.881
Elias Cato,JR,G,Central Arkansas,Atlantic Sun Conference,16.951,-2.395,0.075,59.585,16.58,31.088
Elias King,SR,F,Middle Tennessee,Conference USA,14.726,-0.796,0.087,48.187,20.725,35.233
Elias Walker,SO,F,Delaware State,Mid-Eastern Athletic Conference,25.666,-6.942,0.444,98.446,8.29,99.482
Elijah Brooks,SO,G,North Dakota,Summit League,13.746,-3.91,0.081,45.078,13.99,32.124
Elijah Buchanan,SR,G,NJIT,America East Conference,16.455,-2.496,0.058,55.959,16.58,24.87
Elijah Charles,JR,C,South Carolina State,Mid-Eastern Athletic Conference,11.522,-8.846,0.0,33.679,7.254,10.881
Elijah Davis,JR,G,Incarnate Word,Southland Conference,9.857,-5.362,0.043,26.425,11.399,22.28
Elijah Elliott,JR,G,Texas-Rio Grande Valley,Western Athletic Conference,12.445,-3.296,0.021,35.751,14.508,19.171
Elijah Fisher,SO,G,DePaul,Big East Conference ,12.08,0.435,0.036,34.197,27.461,21.244
Elijah Gertrude,FR,G,Virginia,Atlantic Coast Conference,13.446,0.023,0.027,43.523,25.389,19.689
Elijah Gray,SO,F,Fordham,Atlantic 10 Conference,14.873,-0.734,0.088,49.223,20.725,35.233
Elijah Hawkins,JR,G,Minnesota,Big Ten Conference,15.273,4.531,0.12,51.295,54.922,50.777
Elijah Hulsewe,SO,C,Bethune-Cookman,Southwest Athletic Conference,12.75,-5.298,0.1,37.306,11.399,40.933
Elijah Hutchins-Everett,JR,C,Seton Hall,Big East Conference ,12.199,2.144,0.106,34.715,37.824,44.041
Elijah Jamison,SO,G,Milwaukee,Horizon League,9.519,-5.517,0.027,25.389,11.399,19.689
Elijah Jointer,FR,F,Tennessee State,Ohio Valley Conference,28.64,-5.44,0.444,99.482,11.399,99.482
Elijah Jones,FR,F,UTEP,Conference USA,21.628,0.905,0.169,91.71,28.497,79.275
Elijah Jones,JR,F,Green Bay,Horizon League,18.956,-0.606,0.13,78.238,20.725,55.44
Elijah Lawrence,JR,G,Oral Roberts,Summit League,23.628,-3.864,0.174,95.855,13.99,82.902
Elijah Morgan,SR,G,The Citadel,Southern Conference,19.249,2.453,0.14,79.793,40.415,61.14
Elijah Ormiston,JR,F,South Alabama,Sun Belt Conference,17.232,1.724,0.13,63.212,33.679,55.44
Elijah Pepper,SR,G,UC Davis,Big West Conference,25.788,6.317,0.208,98.964,78.756,92.746
Elijah Perkins,FR,G,Saint Peter's,Metro Atlantic Athletic Conference,4.418,-6.548,0.025,13.99,8.808,19.689
Elijah Saunders,SO,F,San Diego State,Mountain West Conference,14.371,3.359,0.14,46.632,47.15,61.14
Elijah Stephens,JR,G,American,Patriot League,18.758,-1.562,0.124,76.684,18.653,53.368
Elijah Strong,FR,F,Boston College,Atlantic Coast Conference,10.361,-2.28,0.041,28.497,17.098,22.28
Elijah Tate,JR,G,Texas State,Sun Belt Conference,7.886,-4.679,0.067,21.762,12.953,27.461
Elijah Tucker,SO,F,Longwood,Big South Conference,18.263,-1.999,0.16,74.611,17.617,73.575
Elijah Walsh,SO,G,Campbell,Coastal Athletic Association,13.522,-2.191,0.087,44.041,17.098,35.233
Elijah Williams,SR,G,Howard,Mid-Eastern Athletic Conference,6.866,-6.668,0.059,18.135,8.29,24.87
Elijah Wilson,JR,G,Maryland-Eastern Shore,Mid-Eastern Athletic Conference,8.226,-5.16,0.055,22.798,12.435,23.834
Elijah Wood,JR,G,Saint Peter's,Metro Atlantic Athletic Conference,11.912,-1.705,0.136,34.197,18.135,58.031
Elliot Cadeau,FR,G,North Carolina,Atlantic Coast Conference,12.476,1.631,0.107,35.751,32.124,44.041
Elliott Black,SO,F,Merrimack,Northeast Conference,13.691,-5.908,0.106,45.078,9.845,44.041
Ellis Magnuson,SR,G,Eastern Washington,Big Sky Conference,9.718,-2.442,0.086,26.425,16.58,35.233
Elmarko Jackson,FR,G,Kansas,Big 12 Conference,9.471,0.954,0.057,25.389,29.534,24.352
Elmore James,SO,G,Ohio,Mid-American Conference,14.406,-2.418,0.103,47.15,16.58,42.487
Elvin Edmonds IV,JR,G,Bucknell,Patriot League,15.333,-2.905,0.085,51.813,15.544,35.233
Elvis Nnaji,FR,F,Grambling,Southwest Athletic Conference,5.508,-12.903,0.0,15.026,4.663,10.881
Emanuel Miller,SR,F,TCU,Big 12 Conference,22.833,9.409,0.194,95.337,98.964,90.155
Emanuel Richards,FR,G,Longwood,Big South Conference,11.537,-1.407,0.106,34.197,19.689,44.041
Emanuel Sharp,SO,G,Houston,Big 12 Conference,18.026,6.816,0.212,70.984,86.01,93.782
Emarion Ellis,JR,G,Bradley,Missouri Valley Conference,6.664,-6.302,0.0,17.617,9.326,10.881
Emil Skytta,FR,G,Sacramento State,Big Sky Conference,8.662,-5.259,0.031,23.834,12.435,19.689
Emir Buyukhanli,JR,G,Yale,Ivy League,19.918,-3.785,0.111,83.938,14.508,45.078
Emmanuel Callas,SO,G,San Diego,West Coast Conference,2.073,-6.43,-0.021,11.399,9.326,2.591
Emmanuel Dowuona,SR,C,Tennessee State,Ohio Valley Conference,6.895,-7.545,0.066,18.135,8.29,27.461
Emmanuel Innocenti,FR,F,Tarleton State,Western Athletic Conference,13.658,0.65,0.104,44.56,27.979,43.005
Emmanuel Izunabor,SR,F,North Carolina Central,Mid-Eastern Athletic Conference,18.288,0.006,0.159,74.611,25.389,73.575
Emmanuel Kuac,SR,G,Detroit Mercy,Horizon League,6.167,-7.035,-0.02,17.617,8.29,2.591
Emmanuel Ogbole,SO,C,Rutgers,Big Ten Conference,8.075,-2.635,0.07,22.28,16.58,28.497
Emmanuel Okorafor,SO,F,Louisville,Atlantic Coast Conference,21.464,4.825,0.173,91.192,61.14,82.902
Emmanuel Okpomo,JR,C,Temple,American Athletic Conference,10.815,0.401,0.069,31.088,26.425,28.497
Emmanuel Tshimanga,SR,C,UC San Diego,Big West Conference,17.581,-0.4,0.173,64.767,22.798,82.902
Emmer Nichols,SO,F,Georgia Tech,Atlantic Coast Conference,5.259,-9.615,0.0,14.508,6.218,10.881
Emory Lanier,SR,G,Southern Methodist,American Athletic Conference,14.38,2.832,0.163,47.15,42.487,73.575
Enoch Boakye,JR,C,Fresno State,Mountain West Conference,20.125,3.3,0.108,84.974,47.15,44.56
